model_a,model_b,jaccard_adjacentElement,jaccard_adjacentZone,jaccard_intersectingElement,jaccard_hasContinuantPart,jaccard___combined__
Building_05_DG.rdf,Building_06_DG.rdf,0.0,0.018867924528301886,0.0,0.0,0.005917159763313609
Building_05_DG.rdf,Freiform_Haus_DG.rdf,0.0,0.0,0.0,0.0,0.0
Building_05_DG.rdf,Option03_Revising_DG.rdf,0.0,0.0,0.0,0.0,0.0
Building_05_DG.rdf,Option04_Rev03_DG.rdf,0.0,0.0,0.0,0.0,0.0
Building_06_DG.rdf,Freiform_Haus_DG.rdf,0.0,0.0,0.0,0.0,0.0
Building_06_DG.rdf,Option03_Revising_DG.rdf,0.0,0.0,0.0,0.0,0.0
Building_06_DG.rdf,Option04_Rev03_DG.rdf,0.0,0.0,0.0,0.0,0.0
Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,0.0,0.0,0.0,0.0,0.0
Freiform_Haus_DG.rdf,Option04_Rev03_DG.rdf,0.0,0.0,0.0,0.0,0.0
Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf,0.0,0.0,0.0,0.0,0.0
