model,motif,mean_rand,std_rand
Building_05_DG.rdf,M1_isolated,0.0,0.0
Building_05_DG.rdf,M2_frameNode,97.0,0.0
Building_05_DG.rdf,M3_wallSlab,440.0,0.0
Building_05_DG.rdf,M4_core,268.7,17.280335644888382
Building_05_DG.rdf,M5_beamColumn,706903.4,234.83619823187396
Building_05_DG.rdf,M6_connection,206.0,0.0
Building_05_DG.rdf,M7_junction,100.0,0.0
Building_05_DG.rdf,M8_complex,384.0,0.0
Building_06_DG.rdf,M1_isolated,0.0,0.0
Building_06_DG.rdf,M2_frameNode,95.0,0.0
Building_06_DG.rdf,M3_wallSlab,423.0,0.0
Building_06_DG.rdf,M4_core,215.8,22.872691140309662
Building_06_DG.rdf,M5_beamColumn,690174.6,349.72795141366663
Building_06_DG.rdf,M6_connection,222.0,0.0
Building_06_DG.rdf,M7_junction,101.0,0.0
Building_06_DG.rdf,M8_complex,333.0,0.0
Freiform_Haus_DG.rdf,M1_isolated,0.0,0.0
Freiform_Haus_DG.rdf,M2_frameNode,101.0,0.0
Freiform_Haus_DG.rdf,M3_wallSlab,439.0,0.0
Freiform_Haus_DG.rdf,M4_core,178.0,9.338094023943002
Freiform_Haus_DG.rdf,M5_beamColumn,688022.8,169.47731411607867
Freiform_Haus_DG.rdf,M6_connection,317.9,0.30000000000000004
Freiform_Haus_DG.rdf,M7_junction,95.0,0.0
Freiform_Haus_DG.rdf,M8_complex,306.0,0.0
Option03_Revising_DG.rdf,M1_isolated,0.0,0.0
Option03_Revising_DG.rdf,M2_frameNode,95.0,0.0
Option03_Revising_DG.rdf,M3_wallSlab,1145.0,0.0
Option03_Revising_DG.rdf,M4_core,2331.4,97.05379951346572
Option03_Revising_DG.rdf,M5_beamColumn,1600274.0,1211.1680312822
Option03_Revising_DG.rdf,M6_connection,848.1,0.30000000000000004
Option03_Revising_DG.rdf,M7_junction,92.9,0.30000000000000004
Option03_Revising_DG.rdf,M8_complex,1037.0,0.0
Option04_Rev03_DG.rdf,M1_isolated,0.0,0.0
Option04_Rev03_DG.rdf,M2_frameNode,101.0,0.0
Option04_Rev03_DG.rdf,M3_wallSlab,1051.0,0.0
Option04_Rev03_DG.rdf,M4_core,1886.3,79.84115480126773
Option04_Rev03_DG.rdf,M5_beamColumn,1467513.4,1557.153056060964
Option04_Rev03_DG.rdf,M6_connection,1202.0,0.0
Option04_Rev03_DG.rdf,M7_junction,95.0,0.0
Option04_Rev03_DG.rdf,M8_complex,754.0,0.0
