token,count
class,5600
restriction,1930
objectproperty,1640
quantityvalue,562
annotationproperty,485
wallopening,403
reinforcement,403
measuredvalueexpression,349
heattransfercoefficient,281
thermalresistance,281
thermalmass,281
door,274
portionofhardenedconcrete,258
transitiveproperty,240
space,239
loadbearingfunction,174
axiom,135
functionalproperty,120
window,117
bathroom,72
fireresistance,68
datatypeproperty,60
symmetricproperty,45
structuralfunction,43
alldisjointclasses,30
storey,26
inversefunctionalproperty,20
stair,20
bedroom,15
datatype,10
unit,10
corridor,9
shaftopening,8
livingroom,6
asymmetricproperty,5
building,5
stairwell,4
kitchenanddiningroom,4
kitchen,2
